1606: T4_RUNE                                                          : Adept's Rune
4631: T8_HEAD_CLOTH_ROYAL@4                                            : Elder's Royal Cowl
4632: T4_ARMOR_CLOTH_ROYAL                                             : Adept's Royal Robe
4633: T4_ARMOR_CLOTH_ROYAL@1                                           : Adept's Royal Robe
4634: T4_ARMOR_CLOTH_ROYAL@2                                           : Adept's Royal Robe
4635: T4_ARMOR_CLOTH_ROYAL@3                                           : Adept's Royal Robe
4636: T4_ARMOR_CLOTH_ROYAL@4                                           : Adept's Royal Robe
4637: T5_ARMOR_CLOTH_ROYAL                                             : Expert's Royal Robe
4638: T5_ARMOR_CLOTH_ROYAL@1                                           : Expert's Royal Robe
4639: T5_ARMOR_CLOTH_ROYAL@2                                           : Expert's Royal Robe
4640: T5_ARMOR_CLOTH_ROYAL@3                                           : Expert's Royal Robe
4641: T5_ARMOR_CLOTH_ROYAL@4                                           : Expert's Royal Robe
4642: T6_ARMOR_CLOTH_ROYAL                                             : Master's Royal Robe
4643: T6_ARMOR_CLOTH_ROYAL@1                                           : Master's Royal Robe
4644: T6_ARMOR_CLOTH_ROYAL@2                                           : Master's Royal Robe
4645: T6_ARMOR_CLOTH_ROYAL@3                                           : Master's Royal Robe
4646: T6_ARMOR_CLOTH_ROYAL@4                                           : Master's Royal Robe
4647: T7_ARMOR_CLOTH_ROYAL                                             : Grandmaster's Royal Robe
4648: T7_ARMOR_CLOTH_ROYAL@1                                           : Grandmaster's Royal Robe
4649: T7_ARMOR_CLOTH_ROYAL@2                                           : Grandmaster's Royal Robe
4650: T7_ARMOR_CLOTH_ROYAL@3                                           : Grandmaster's Royal Robe
4651: T7_ARMOR_CLOTH_ROYAL@4                                           : Grandmaster's Royal Robe
4652: T8_ARMOR_CLOTH_ROYAL                                             : Elder's Royal Robe
4653: T8_ARMOR_CLOTH_ROYAL@1                                           : Elder's Royal Robe
4654: T8_ARMOR_CLOTH_ROYAL@2                                           : Elder's Royal Robe
4655: T8_ARMOR_CLOTH_ROYAL@3                                           : Elder's Royal Robe
4656: T8_ARMOR_CLOTH_ROYAL@4                                           : Elder's Royal Robe
4657: T4_SHOES_CLOTH_ROYAL                                             : Adept's Royal Sandals
4658: T4_SHOES_CLOTH_ROYAL@1                                           : Adept's Royal Sandals
4659: T4_SHOES_CLOTH_ROYAL@2                                           : Adept's Royal Sandals
4660: T4_SHOES_CLOTH_ROYAL@3                                           : Adept's Royal Sandals
4661: T4_SHOES_CLOTH_ROYAL@4                                           : Adept's Royal Sandals
4662: T5_SHOES_CLOTH_ROYAL                                             : Expert's Royal Sandals
4663: T5_SHOES_CLOTH_ROYAL@1                                           : Expert's Royal Sandals
4664: T5_SHOES_CLOTH_ROYAL@2                                           : Expert's Royal Sandals
4665: T5_SHOES_CLOTH_ROYAL@3                                           : Expert's Royal Sandals
4666: T5_SHOES_CLOTH_ROYAL@4                                           : Expert's Royal Sandals
4667: T6_SHOES_CLOTH_ROYAL                                             : Master's Royal Sandals
4668: T6_SHOES_CLOTH_ROYAL@1                                           : Master's Royal Sandals
4669: T6_SHOES_CLOTH_ROYAL@2                                           : Master's Royal Sandals
4670: T6_SHOES_CLOTH_ROYAL@3                                           : Master's Royal Sandals
4671: T6_SHOES_CLOTH_ROYAL@4                                           : Master's Royal Sandals
4672: T7_SHOES_CLOTH_ROYAL                                             : Grandmaster's Royal Sandals
4673: T7_SHOES_CLOTH_ROYAL@1                                           : Grandmaster's Royal Sandals
4674: T7_SHOES_CLOTH_ROYAL@2                                           : Grandmaster's Royal Sandals
4675: T7_SHOES_CLOTH_ROYAL@3                                           : Grandmaster's Royal Sandals
4676: T7_SHOES_CLOTH_ROYAL@4                                           : Grandmaster's Royal Sandals
4677: T8_SHOES_CLOTH_ROYAL                                             : Elder's Royal Sandals
4678: T8_SHOES_CLOTH_ROYAL@1                                           : Elder's Royal Sandals
4679: T8_SHOES_CLOTH_ROYAL@2                                           : Elder's Royal Sandals
4680: T8_SHOES_CLOTH_ROYAL@3                                           : Elder's Royal Sandals
4681: T8_SHOES_CLOTH_ROYAL@4                                           : Elder's Royal Sandals
4682: T4_HEAD_LEATHER_ROYAL                                            : Adept's Royal Hood
4683: T4_HEAD_LEATHER_ROYAL@1                                          : Adept's Royal Hood
4684: T4_HEAD_LEATHER_ROYAL@2                                          : Adept's Royal Hood
4685: T4_HEAD_LEATHER_ROYAL@3                                          : Adept's Royal Hood
4686: T4_HEAD_LEATHER_ROYAL@4                                          : Adept's Royal Hood
4687: T5_HEAD_LEATHER_ROYAL                                            : Expert's Royal Hood
4688: T5_HEAD_LEATHER_ROYAL@1                                          : Expert's Royal Hood
4689: T5_HEAD_LEATHER_ROYAL@2                                          : Expert's Royal Hood
4690: T5_HEAD_LEATHER_ROYAL@3                                          : Expert's Royal Hood
4691: T5_HEAD_LEATHER_ROYAL@4                                          : Expert's Royal Hood
4692: T6_HEAD_LEATHER_ROYAL                                            : Master's Royal Hood
4693: T6_HEAD_LEATHER_ROYAL@1                                          : Master's Royal Hood
4694: T6_HEAD_LEATHER_ROYAL@2                                          : Master's Royal Hood
4695: T6_HEAD_LEATHER_ROYAL@3                                          : Master's Royal Hood
4696: T6_HEAD_LEATHER_ROYAL@4                                          : Master's Royal Hood
4697: T7_HEAD_LEATHER_ROYAL                                            : Grandmaster's Royal Hood
4698: T7_HEAD_LEATHER_ROYAL@1                                          : Grandmaster's Royal Hood
4699: T7_HEAD_LEATHER_ROYAL@2                                          : Grandmaster's Royal Hood
4700: T7_HEAD_LEATHER_ROYAL@3                                          : Grandmaster's Royal Hood
4701: T7_HEAD_LEATHER_ROYAL@4                                          : Grandmaster's Royal Hood
4702: T8_HEAD_LEATHER_ROYAL                                            : Elder's Royal Hood
4703: T8_HEAD_LEATHER_ROYAL@1                                          : Elder's Royal Hood
4704: T8_HEAD_LEATHER_ROYAL@2                                          : Elder's Royal Hood
4705: T8_HEAD_LEATHER_ROYAL@3                                          : Elder's Royal Hood
4706: T8_HEAD_LEATHER_ROYAL@4                                          : Elder's Royal Hood
4707: T4_ARMOR_LEATHER_ROYAL                                           : Adept's Royal Jacket
4708: T4_ARMOR_LEATHER_ROYAL@1                                         : Adept's Royal Jacket
4709: T4_ARMOR_LEATHER_ROYAL@2                                         : Adept's Royal Jacket
4710: T4_ARMOR_LEATHER_ROYAL@3                                         : Adept's Royal Jacket
4711: T4_ARMOR_LEATHER_ROYAL@4                                         : Adept's Royal Jacket
4712: T5_ARMOR_LEATHER_ROYAL                                           : Expert's Royal Jacket
4713: T5_ARMOR_LEATHER_ROYAL@1                                         : Expert's Royal Jacket
4714: T5_ARMOR_LEATHER_ROYAL@2                                         : Expert's Royal Jacket
4715: T5_ARMOR_LEATHER_ROYAL@3                                         : Expert's Royal Jacket
4716: T5_ARMOR_LEATHER_ROYAL@4                                         : Expert's Royal Jacket
4717: T6_ARMOR_LEATHER_ROYAL                                           : Master's Royal Jacket
4718: T6_ARMOR_LEATHER_ROYAL@1                                         : Master's Royal Jacket
4719: T6_ARMOR_LEATHER_ROYAL@2                                         : Master's Royal Jacket
4720: T6_ARMOR_LEATHER_ROYAL@3                                         : Master's Royal Jacket
4721: T6_ARMOR_LEATHER_ROYAL@4                                         : Master's Royal Jacket
4722: T7_ARMOR_LEATHER_ROYAL                                           : Grandmaster's Royal Jacket
4723: T7_ARMOR_LEATHER_ROYAL@1                                         : Grandmaster's Royal Jacket
4724: T7_ARMOR_LEATHER_ROYAL@2                                         : Grandmaster's Royal Jacket
4725: T7_ARMOR_LEATHER_ROYAL@3                                         : Grandmaster's Royal Jacket
4726: T7_ARMOR_LEATHER_ROYAL@4                                         : Grandmaster's Royal Jacket
4727: T8_ARMOR_LEATHER_ROYAL                                           : Elder's Royal Jacket
4728: T8_ARMOR_LEATHER_ROYAL@1                                         : Elder's Royal Jacket
4729: T8_ARMOR_LEATHER_ROYAL@2                                         : Elder's Royal Jacket
4730: T8_ARMOR_LEATHER_ROYAL@3                                         : Elder's Royal Jacket
4731: T8_ARMOR_LEATHER_ROYAL@4                                         : Elder's Royal Jacket
4732: T4_SHOES_LEATHER_ROYAL                                           : Adept's Royal Shoes
4733: T4_SHOES_LEATHER_ROYAL@1                                         : Adept's Royal Shoes
4734: T4_SHOES_LEATHER_ROYAL@2                                         : Adept's Royal Shoes
4735: T4_SHOES_LEATHER_ROYAL@3                                         : Adept's Royal Shoes
4736: T4_SHOES_LEATHER_ROYAL@4                                         : Adept's Royal Shoes
4737: T5_SHOES_LEATHER_ROYAL                                           : Expert's Royal Shoes
4738: T5_SHOES_LEATHER_ROYAL@1                                         : Expert's Royal Shoes
4739: T5_SHOES_LEATHER_ROYAL@2                                         : Expert's Royal Shoes
4740: T5_SHOES_LEATHER_ROYAL@3                                         : Expert's Royal Shoes
4741: T5_SHOES_LEATHER_ROYAL@4                                         : Expert's Royal Shoes
4742: T6_SHOES_LEATHER_ROYAL                                           : Master's Royal Shoes
4743: T6_SHOES_LEATHER_ROYAL@1                                         : Master's Royal Shoes
4744: T6_SHOES_LEATHER_ROYAL@2                                         : Master's Royal Shoes
4745: T6_SHOES_LEATHER_ROYAL@3                                         : Master's Royal Shoes
4746: T6_SHOES_LEATHER_ROYAL@4                                         : Master's Royal Shoes
4747: T7_SHOES_LEATHER_ROYAL                                           : Grandmaster's Royal Shoes
4748: T7_SHOES_LEATHER_ROYAL@1                                         : Grandmaster's Royal Shoes
4749: T7_SHOES_LEATHER_ROYAL@2                                         : Grandmaster's Royal Shoes
4750: T7_SHOES_LEATHER_ROYAL@3                                         : Grandmaster's Royal Shoes
4751: T7_SHOES_LEATHER_ROYAL@4                                         : Grandmaster's Royal Shoes
4752: T8_SHOES_LEATHER_ROYAL                                           : Elder's Royal Shoes
4753: T8_SHOES_LEATHER_ROYAL@1                                         : Elder's Royal Shoes
4754: T8_SHOES_LEATHER_ROYAL@2                                         : Elder's Royal Shoes
4755: T8_SHOES_LEATHER_ROYAL@3                                         : Elder's Royal Shoes
4756: T8_SHOES_LEATHER_ROYAL@4                                         : Elder's Royal Shoes
4757: T4_HEAD_PLATE_ROYAL                                              : Adept's Royal Helmet
4758: T4_HEAD_PLATE_ROYAL@1                                            : Adept's Royal Helmet
4759: T4_HEAD_PLATE_ROYAL@2                                            : Adept's Royal Helmet
4760: T4_HEAD_PLATE_ROYAL@3                                            : Adept's Royal Helmet
4761: T4_HEAD_PLATE_ROYAL@4                                            : Adept's Royal Helmet
4762: T5_HEAD_PLATE_ROYAL                                              : Expert's Royal Helmet
4763: T5_HEAD_PLATE_ROYAL@1                                            : Expert's Royal Helmet
4764: T5_HEAD_PLATE_ROYAL@2                                            : Expert's Royal Helmet
4765: T5_HEAD_PLATE_ROYAL@3                                            : Expert's Royal Helmet
4766: T5_HEAD_PLATE_ROYAL@4                                            : Expert's Royal Helmet
4767: T6_HEAD_PLATE_ROYAL                                              : Master's Royal Helmet
4768: T6_HEAD_PLATE_ROYAL@1                                            : Master's Royal Helmet
4769: T6_HEAD_PLATE_ROYAL@2                                            : Master's Royal Helmet
4770: T6_HEAD_PLATE_ROYAL@3                                            : Master's Royal Helmet
4771: T6_HEAD_PLATE_ROYAL@4                                            : Master's Royal Helmet
4772: T7_HEAD_PLATE_ROYAL                                              : Grandmaster's Royal Helmet
4773: T7_HEAD_PLATE_ROYAL@1                                            : Grandmaster's Royal Helmet
4774: T7_HEAD_PLATE_ROYAL@2                                            : Grandmaster's Royal Helmet
4775: T7_HEAD_PLATE_ROYAL@3                                            : Grandmaster's Royal Helmet
4776: T7_HEAD_PLATE_ROYAL@4                                            : Grandmaster's Royal Helmet
4777: T8_HEAD_PLATE_ROYAL                                              : Elder's Royal Helmet
4778: T8_HEAD_PLATE_ROYAL@1                                            : Elder's Royal Helmet
4779: T8_HEAD_PLATE_ROYAL@2                                            : Elder's Royal Helmet
4780: T8_HEAD_PLATE_ROYAL@3                                            : Elder's Royal Helmet
4781: T8_HEAD_PLATE_ROYAL@4                                            : Elder's Royal Helmet
4782: T4_ARMOR_PLATE_ROYAL                                             : Adept's Royal Armor
4783: T4_ARMOR_PLATE_ROYAL@1                                           : Adept's Royal Armor
4784: T4_ARMOR_PLATE_ROYAL@2                                           : Adept's Royal Armor
4785: T4_ARMOR_PLATE_ROYAL@3                                           : Adept's Royal Armor
4786: T4_ARMOR_PLATE_ROYAL@4                                           : Adept's Royal Armor
4787: T5_ARMOR_PLATE_ROYAL                                             : Expert's Royal Armor
4788: T5_ARMOR_PLATE_ROYAL@1                                           : Expert's Royal Armor
4789: T5_ARMOR_PLATE_ROYAL@2                                           : Expert's Royal Armor
4790: T5_ARMOR_PLATE_ROYAL@3                                           : Expert's Royal Armor
4791: T5_ARMOR_PLATE_ROYAL@4                                           : Expert's Royal Armor
4792: T6_ARMOR_PLATE_ROYAL                                             : Master's Royal Armor
4793: T6_ARMOR_PLATE_ROYAL@1                                           : Master's Royal Armor
4794: T6_ARMOR_PLATE_ROYAL@2                                           : Master's Royal Armor
4795: T6_ARMOR_PLATE_ROYAL@3                                           : Master's Royal Armor
4796: T6_ARMOR_PLATE_ROYAL@4                                           : Master's Royal Armor
4797: T7_ARMOR_PLATE_ROYAL                                             : Grandmaster's Royal Armor
4798: T7_ARMOR_PLATE_ROYAL@1                                           : Grandmaster's Royal Armor
4799: T7_ARMOR_PLATE_ROYAL@2                                           : Grandmaster's Royal Armor
4800: T7_ARMOR_PLATE_ROYAL@3                                           : Grandmaster's Royal Armor
4801: T7_ARMOR_PLATE_ROYAL@4                                           : Grandmaster's Royal Armor
4802: T8_ARMOR_PLATE_ROYAL                                             : Elder's Royal Armor
4803: T8_ARMOR_PLATE_ROYAL@1                                           : Elder's Royal Armor
4804: T8_ARMOR_PLATE_ROYAL@2                                           : Elder's Royal Armor
4805: T8_ARMOR_PLATE_ROYAL@3                                           : Elder's Royal Armor
4806: T8_ARMOR_PLATE_ROYAL@4                                           : Elder's Royal Armor
4807: T4_SHOES_PLATE_ROYAL                                             : Adept's Royal Boots
4808: T4_SHOES_PLATE_ROYAL@1                                           : Adept's Royal Boots
4809: T4_SHOES_PLATE_ROYAL@2                                           : Adept's Royal Boots
4810: T4_SHOES_PLATE_ROYAL@3                                           : Adept's Royal Boots
4811: T4_SHOES_PLATE_ROYAL@4                                           : Adept's Royal Boots
4812: T5_SHOES_PLATE_ROYAL                                             : Expert's Royal Boots
4813: T5_SHOES_PLATE_ROYAL@1                                           : Expert's Royal Boots
4814: T5_SHOES_PLATE_ROYAL@2                                           : Expert's Royal Boots
4815: T5_SHOES_PLATE_ROYAL@3                                           : Expert's Royal Boots
4816: T5_SHOES_PLATE_ROYAL@4                                           : Expert's Royal Boots
4817: T6_SHOES_PLATE_ROYAL                                             : Master's Royal Boots
4818: T6_SHOES_PLATE_ROYAL@1                                           : Master's Royal Boots
4819: T6_SHOES_PLATE_ROYAL@2                                           : Master's Royal Boots
4820: T6_SHOES_PLATE_ROYAL@3                                           : Master's Royal Boots
4821: T6_SHOES_PLATE_ROYAL@4                                           : Master's Royal Boots
4822: T7_SHOES_PLATE_ROYAL                                             : Grandmaster's Royal Boots
4823: T7_SHOES_PLATE_ROYAL@1                                           : Grandmaster's Royal Boots
4824: T7_SHOES_PLATE_ROYAL@2                                           : Grandmaster's Royal Boots
4825: T7_SHOES_PLATE_ROYAL@3                                           : Grandmaster's Royal Boots
4826: T7_SHOES_PLATE_ROYAL@4                                           : Grandmaster's Royal Boots
4827: T8_SHOES_PLATE_ROYAL                                             : Elder's Royal Boots
4828: T8_SHOES_PLATE_ROYAL@1                                           : Elder's Royal Boots
4829: T8_SHOES_PLATE_ROYAL@2                                           : Elder's Royal Boots
4830: T8_SHOES_PLATE_ROYAL@3                                           : Elder's Royal Boots
4831: T8_SHOES_PLATE_ROYAL@4                                           : Elder's Royal Boots
5642: T2_2H_BOW                                                        : Novice's Bow
5643: T3_2H_BOW                                                        : Journeyman's Bow
5644: T4_2H_BOW                                                        : Adept's Bow
5645: T4_2H_BOW@1                                                      : Adept's Bow
5646: T4_2H_BOW@2                                                      : Adept's Bow
5647: T4_2H_BOW@3                                                      : Adept's Bow
5648: T4_2H_BOW@4                                                      : Adept's Bow
5649: T5_2H_BOW                                                        : Expert's Bow
5650: T5_2H_BOW@1                                                      : Expert's Bow
5651: T5_2H_BOW@2                                                      : Expert's Bow
5652: T5_2H_BOW@3                                                      : Expert's Bow
5653: T5_2H_BOW@4                                                      : Expert's Bow
5654: T6_2H_BOW                                                        : Master's Bow
5655: T6_2H_BOW@1                                                      : Master's Bow
5656: T6_2H_BOW@2                                                      : Master's Bow
5657: T6_2H_BOW@3                                                      : Master's Bow
5658: T6_2H_BOW@4                                                      : Master's Bow
5659: T7_2H_BOW                                                        : Grandmaster's Bow
5660: T7_2H_BOW@1                                                      : Grandmaster's Bow
5661: T7_2H_BOW@2                                                      : Grandmaster's Bow
5662: T7_2H_BOW@3                                                      : Grandmaster's Bow
5663: T7_2H_BOW@4                                                      : Grandmaster's Bow
5664: T8_2H_BOW                                                        : Elder's Bow
5665: T8_2H_BOW@1                                                      : Elder's Bow
5666: T8_2H_BOW@2                                                      : Elder's Bow
5667: T8_2H_BOW@3                                                      : Elder's Bow
5668: T8_2H_BOW@4                                                      : Elder's Bow
5669: T4_2H_WARBOW                                                     : Adept's Warbow
5670: T4_2H_WARBOW@1                                                   : Adept's Warbow
5671: T4_2H_WARBOW@2                                                   : Adept's Warbow
5672: T4_2H_WARBOW@3                                                   : Adept's Warbow
5673: T4_2H_WARBOW@4                                                   : Adept's Warbow
5674: T5_2H_WARBOW                                                     : Expert's Warbow
5675: T5_2H_WARBOW@1                                                   : Expert's Warbow
5676: T5_2H_WARBOW@2                                                   : Expert's Warbow
5677: T5_2H_WARBOW@3                                                   : Expert's Warbow
5678: T5_2H_WARBOW@4                                                   : Expert's Warbow
5679: T6_2H_WARBOW                                                     : Master's Warbow
5680: T6_2H_WARBOW@1                                                   : Master's Warbow
5681: T6_2H_WARBOW@2                                                   : Master's Warbow
5682: T6_2H_WARBOW@3                                                   : Master's Warbow
5683: T6_2H_WARBOW@4                                                   : Master's Warbow
5684: T7_2H_WARBOW                                                     : Grandmaster's Warbow
5685: T7_2H_WARBOW@1                                                   : Grandmaster's Warbow
5686: T7_2H_WARBOW@2                                                   : Grandmaster's Warbow
5687: T7_2H_WARBOW@3                                                   : Grandmaster's Warbow
5688: T7_2H_WARBOW@4                                                   : Grandmaster's Warbow
5689: T8_2H_WARBOW                                                     : Elder's Warbow
5690: T8_2H_WARBOW@1                                                   : Elder's Warbow
5691: T8_2H_WARBOW@2                                                   : Elder's Warbow
5692: T8_2H_WARBOW@3                                                   : Elder's Warbow
5693: T8_2H_WARBOW@4                                                   : Elder's Warbow
5694: T4_2H_LONGBOW                                                    : Adept's Longbow
5695: T4_2H_LONGBOW@1                                                  : Adept's Longbow
5696: T4_2H_LONGBOW@2                                                  : Adept's Longbow
5697: T4_2H_LONGBOW@3                                                  : Adept's Longbow
5698: T4_2H_LONGBOW@4                                                  : Adept's Longbow
5699: T5_2H_LONGBOW                                                    : Expert's Longbow
5700: T5_2H_LONGBOW@1                                                  : Expert's Longbow
5701: T5_2H_LONGBOW@2                                                  : Expert's Longbow
5702: T5_2H_LONGBOW@3                                                  : Expert's Longbow
5703: T5_2H_LONGBOW@4                                                  : Expert's Longbow
5704: T6_2H_LONGBOW                                                    : Master's Longbow
5705: T6_2H_LONGBOW@1                                                  : Master's Longbow
5706: T6_2H_LONGBOW@2                                                  : Master's Longbow
5707: T6_2H_LONGBOW@3                                                  : Master's Longbow
5708: T6_2H_LONGBOW@4                                                  : Master's Longbow
5709: T7_2H_LONGBOW                                                    : Grandmaster's Longbow
5710: T7_2H_LONGBOW@1                                                  : Grandmaster's Longbow
5711: T7_2H_LONGBOW@2                                                  : Grandmaster's Longbow
5712: T7_2H_LONGBOW@3                                                  : Grandmaster's Longbow
5713: T7_2H_LONGBOW@4                                                  : Grandmaster's Longbow
5714: T8_2H_LONGBOW                                                    : Elder's Longbow
5715: T8_2H_LONGBOW@1                                                  : Elder's Longbow
5716: T8_2H_LONGBOW@2                                                  : Elder's Longbow
5717: T8_2H_LONGBOW@3                                                  : Elder's Longbow
5718: T8_2H_LONGBOW@4                                                  : Elder's Longbow
5719: T4_2H_LONGBOW_UNDEAD                                             : Adept's Whispering Bow
5720: T4_2H_LONGBOW_UNDEAD@1                                           : Adept's Whispering Bow
5721: T4_2H_LONGBOW_UNDEAD@2                                           : Adept's Whispering Bow
5722: T4_2H_LONGBOW_UNDEAD@3                                           : Adept's Whispering Bow
5723: T4_2H_LONGBOW_UNDEAD@4                                           : Adept's Whispering Bow
5724: T5_2H_LONGBOW_UNDEAD                                             : Expert's Whispering Bow
5725: T5_2H_LONGBOW_UNDEAD@1                                           : Expert's Whispering Bow
5726: T5_2H_LONGBOW_UNDEAD@2                                           : Expert's Whispering Bow
5727: T5_2H_LONGBOW_UNDEAD@3                                           : Expert's Whispering Bow
5728: T5_2H_LONGBOW_UNDEAD@4                                           : Expert's Whispering Bow
5729: T6_2H_LONGBOW_UNDEAD                                             : Master's Whispering Bow
5730: T6_2H_LONGBOW_UNDEAD@1                                           : Master's Whispering Bow
5731: T6_2H_LONGBOW_UNDEAD@2                                           : Master's Whispering Bow
5732: T6_2H_LONGBOW_UNDEAD@3                                           : Master's Whispering Bow
5733: T6_2H_LONGBOW_UNDEAD@4                                           : Master's Whispering Bow
5734: T7_2H_LONGBOW_UNDEAD                                             : Grandmaster's Whispering Bow
5735: T7_2H_LONGBOW_UNDEAD@1                                           : Grandmaster's Whispering Bow
5736: T7_2H_LONGBOW_UNDEAD@2                                           : Grandmaster's Whispering Bow
5737: T7_2H_LONGBOW_UNDEAD@3                                           : Grandmaster's Whispering Bow
5738: T7_2H_LONGBOW_UNDEAD@4                                           : Grandmaster's Whispering Bow
5739: T8_2H_LONGBOW_UNDEAD                                             : Elder's Whispering Bow
5740: T8_2H_LONGBOW_UNDEAD@1                                           : Elder's Whispering Bow
5741: T8_2H_LONGBOW_UNDEAD@2                                           : Elder's Whispering Bow
5742: T8_2H_LONGBOW_UNDEAD@3                                           : Elder's Whispering Bow
5743: T8_2H_LONGBOW_UNDEAD@4                                           : Elder's Whispering Bow
5744: T4_2H_BOW_HELL                                                   : Adept's Wailing Bow
5745: T4_2H_BOW_HELL@1                                                 : Adept's Wailing Bow
5746: T4_2H_BOW_HELL@2                                                 : Adept's Wailing Bow
5747: T4_2H_BOW_HELL@3                                                 : Adept's Wailing Bow
5748: T4_2H_BOW_HELL@4                                                 : Adept's Wailing Bow
5749: T5_2H_BOW_HELL                                                   : Expert's Wailing Bow
5750: T5_2H_BOW_HELL@1                                                 : Expert's Wailing Bow
5751: T5_2H_BOW_HELL@2                                                 : Expert's Wailing Bow
5752: T5_2H_BOW_HELL@3                                                 : Expert's Wailing Bow
5753: T5_2H_BOW_HELL@4                                                 : Expert's Wailing Bow
5754: T6_2H_BOW_HELL                                                   : Master's Wailing Bow
5755: T6_2H_BOW_HELL@1                                                 : Master's Wailing Bow
5756: T6_2H_BOW_HELL@2                                                 : Master's Wailing Bow
5757: T6_2H_BOW_HELL@3                                                 : Master's Wailing Bow
5758: T6_2H_BOW_HELL@4                                                 : Master's Wailing Bow
5759: T7_2H_BOW_HELL                                                   : Grandmaster's Wailing Bow
5760: T7_2H_BOW_HELL@1                                                 : Grandmaster's Wailing Bow
5761: T7_2H_BOW_HELL@2                                                 : Grandmaster's Wailing Bow
5762: T7_2H_BOW_HELL@3                                                 : Grandmaster's Wailing Bow
5763: T7_2H_BOW_HELL@4                                                 : Grandmaster's Wailing Bow
5764: T8_2H_BOW_HELL                                                   : Elder's Wailing Bow
5765: T8_2H_BOW_HELL@1                                                 : Elder's Wailing Bow
5766: T8_2H_BOW_HELL@2                                                 : Elder's Wailing Bow
5767: T8_2H_BOW_HELL@3                                                 : Elder's Wailing Bow
5768: T8_2H_BOW_HELL@4                                                 : Elder's Wailing Bow
5769: T4_2H_BOW_KEEPER                                                 : Adept's Bow of Badon
5770: T4_2H_BOW_KEEPER@1                                               : Adept's Bow of Badon
5771: T4_2H_BOW_KEEPER@2                                               : Adept's Bow of Badon
5772: T4_2H_BOW_KEEPER@3                                               : Adept's Bow of Badon
5773: T4_2H_BOW_KEEPER@4                                               : Adept's Bow of Badon
5774: T5_2H_BOW_KEEPER                                                 : Expert's Bow of Badon
5775: T5_2H_BOW_KEEPER@1                                               : Expert's Bow of Badon
5776: T5_2H_BOW_KEEPER@2                                               : Expert's Bow of Badon
5777: T5_2H_BOW_KEEPER@3                                               : Expert's Bow of Badon
5778: T5_2H_BOW_KEEPER@4                                               : Expert's Bow of Badon
5779: T6_2H_BOW_KEEPER                                                 : Master's Bow of Badon
5780: T6_2H_BOW_KEEPER@1                                               : Master's Bow of Badon
5781: T6_2H_BOW_KEEPER@2                                               : Master's Bow of Badon
5782: T6_2H_BOW_KEEPER@3                                               : Master's Bow of Badon
5783: T6_2H_BOW_KEEPER@4                                               : Master's Bow of Badon
5784: T7_2H_BOW_KEEPER                                                 : Grandmaster's Bow of Badon
5785: T7_2H_BOW_KEEPER@1                                               : Grandmaster's Bow of Badon
5786: T7_2H_BOW_KEEPER@2                                               : Grandmaster's Bow of Badon
5787: T7_2H_BOW_KEEPER@3                                               : Grandmaster's Bow of Badon
5788: T7_2H_BOW_KEEPER@4                                               : Grandmaster's Bow of Badon
5789: T8_2H_BOW_KEEPER                                                 : Elder's Bow of Badon
5790: T8_2H_BOW_KEEPER@1                                               : Elder's Bow of Badon
5791: T8_2H_BOW_KEEPER@2                                               : Elder's Bow of Badon
5792: T8_2H_BOW_KEEPER@3                                               : Elder's Bow of Badon
5793: T8_2H_BOW_KEEPER@4                                               : Elder's Bow of Badon
5794: T4_2H_BOW_AVALON                                                 : Adept's Mistpiercer
5795: T4_2H_BOW_AVALON@1                                               : Adept's Mistpiercer
5796: T4_2H_BOW_AVALON@2                                               : Adept's Mistpiercer
5797: T4_2H_BOW_AVALON@3                                               : Adept's Mistpiercer
5798: T4_2H_BOW_AVALON@4                                               : Adept's Mistpiercer
5799: T5_2H_BOW_AVALON                                                 : Expert's Mistpiercer
5800: T5_2H_BOW_AVALON@1                                               : Expert's Mistpiercer
5801: T5_2H_BOW_AVALON@2                                               : Expert's Mistpiercer
5802: T5_2H_BOW_AVALON@3                                               : Expert's Mistpiercer
5803: T5_2H_BOW_AVALON@4                                               : Expert's Mistpiercer
5804: T6_2H_BOW_AVALON                                                 : Master's Mistpiercer
5805: T6_2H_BOW_AVALON@1                                               : Master's Mistpiercer
5806: T6_2H_BOW_AVALON@2                                               : Master's Mistpiercer
5807: T6_2H_BOW_AVALON@3                                               : Master's Mistpiercer
5808: T6_2H_BOW_AVALON@4                                               : Master's Mistpiercer
5809: T7_2H_BOW_AVALON                                                 : Grandmaster's Mistpiercer
5810: T7_2H_BOW_AVALON@1                                               : Grandmaster's Mistpiercer
5811: T7_2H_BOW_AVALON@2                                               : Grandmaster's Mistpiercer
5812: T7_2H_BOW_AVALON@3                                               : Grandmaster's Mistpiercer
5813: T7_2H_BOW_AVALON@4                                               : Grandmaster's Mistpiercer
5814: T8_2H_BOW_AVALON                                                 : Elder's Mistpiercer
5815: T8_2H_BOW_AVALON@1                                               : Elder's Mistpiercer
5816: T8_2H_BOW_AVALON@2                                               : Elder's Mistpiercer
5817: T8_2H_BOW_AVALON@3                                               : Elder's Mistpiercer
5818: T8_2H_BOW_AVALON@4                                               : Elder's Mistpiercer
5819: T3_2H_CROSSBOW                                                   : Journeyman's Crossbow
5820: T4_2H_CROSSBOW                                                   : Adept's Crossbow
5821: T4_2H_CROSSBOW@1                                                 : Adept's Crossbow
